弹幕,时间
完结,2017-09-15 16:14:29
这还是连续变量，离散数学的大楼才搭个地基呢,2017-09-16 13:31:18
完结了，还有点舍不得呢，感谢作者和up主。,2017-09-17 21:45:50
终于打到最后一关了\\n 重塑对线代认识,2017-09-18 22:23:04
感谢！！！,2017-09-22 19:45:59
真的是如同醍醐灌顶,2017-09-22 22:42:55
受益匪浅,2017-09-22 22:43:09
暂停学姿势,2017-09-29 10:32:16
完结撒花,2017-09-29 10:37:23
讲的真好，收获很大，反复多次看,2017-09-29 20:05:04
谢谢 完结撒花！,2017-10-02 21:11:35
感谢你们！！！,2017-10-07 13:23:18
@G胖,2017-10-08 20:44:30
@G胖,2017-10-08 20:42:20
66666666666666完结撒花6666666666666666666,2017-10-12 16:08:43
矩形坐标系,2017-10-21 10:06:21
没说在工程上的应用,2017-10-21 10:16:21
感谢UP主,2017-10-26 16:47:57
3Q,2017-10-27 10:08:35
借用严老师的一句话：万物皆矩阵,2017-10-27 22:55:57
感谢真的感谢作者和译者,2017-10-27 23:03:02
这里是研究生的线性空间才去讨论的（不是数学系，工科狗）,2017-10-27 23:04:01
感觉研究生的数学都超抽象，控制理论的矩阵代数和现代数学分析基础,2017-10-27 23:13:00
@邹云教授,2017-10-27 23:18:46
非常感谢！,2017-10-28 00:55:56
这是计算机求导的方法吗？？？,2017-10-29 21:02:10
隐约感觉某些东西好像联系起来了，但又不知道是啥,2017-10-29 21:05:34
吃一碗饭拉一坨，吃两碗饭拉两坨，吃一大碗饭，拉一大坨。,2017-10-29 21:11:44
感谢！！！！！,2017-10-30 22:10:37
虽然我是一个极少发弹幕的人，但是这一次必须表示感谢！！！笔芯,2017-10-31 12:06:55
完结撒花 给自己点个赞,2017-11-01 14:23:14
这叫面向对象,2017-11-05 16:13:42
完结撒花 真心感谢作者和译者,2017-11-05 22:13:58
完结撒花~,2017-11-06 01:07:09
感谢作者，感谢字幕组,2017-11-08 01:29:00
线代挂科的冒泡,2017-11-08 14:06:57
然后求导法则符合这两条,2017-11-10 00:45:21
求导不就是线性变换吗,2017-11-10 00:47:56
撒花撒花,2017-11-10 00:57:51
那不定积分也是线性运算了,2017-11-11 10:22:31
毕业了毕业了，感谢作者，感谢翻译！,2017-11-13 17:00:38
什么叫醉了,2017-11-14 15:09:46
？？？,2017-11-14 15:41:39
泛函,2017-11-15 19:40:06
准备考研的报个到,2017-11-16 17:18:58
谢谢啊，研究生了，终于对这东西深刻了解了点,2017-11-17 10:59:09
合影留念！,2017-11-19 11:46:11
合影,2017-11-19 11:46:27
感谢作者和字幕组,2017-11-19 23:36:16
完结撒花！！！！！！！,2017-11-20 23:28:15
完结撒花！！！！,2017-11-20 23:28:53
所以，课本写得抽象也无可厚非，这时候体现一个好的老师的作用了。,2017-11-20 23:40:46
感谢感谢up主,2017-11-21 13:22:08
感谢作者，感谢字幕组,2017-11-21 13:22:48
完结撒花,2017-11-21 20:35:02
整天扯向这个术语那个术语的，不确定的东西能不能别说,2017-11-22 09:30:55
非常感谢╰(*´︶`*)╯,2017-11-23 18:17:12
感谢,2017-11-24 19:32:22
真的感谢,2017-11-24 19:32:46
感谢，真的感谢,2017-11-25 05:08:43
发现新大陆,2017-11-26 14:59:45
所以学计算机的都来看了吗,2017-11-27 06:39:15
好tm的神奇,2017-12-02 20:52:01
完结撒花~！,2017-12-03 12:23:51
十分感谢，帮助很大！,2017-12-03 12:25:48
太颠覆了！太震撼了！,2017-12-03 22:59:26
感谢！！！大爱！！,2017-12-03 23:29:49
一等聪明抽象理解，二等聪明具象理解,2017-12-03 23:38:15
掰掰,2017-12-05 14:14:53
妙啊，不定积分是这个的逆矩阵,2017-12-06 23:02:22
就是封装在一个数域里,2017-12-06 23:09:30
感谢 虽然很多还是不懂....祝线代结课考试能过,2017-12-07 19:38:03
线性时不变,2017-12-09 14:06:06
本科涉及信号的的课程如信号系统dsp都有讲,2017-12-09 14:14:45
感谢(❁´ω`❁),2017-12-10 20:00:16
物理系冒泡，感谢up主(⁄ ⁄•⁄ω⁄•⁄ ⁄),2017-12-10 20:04:49
刚刚修了JAVA。。。。。。。,2017-12-14 22:37:11
感谢大佬为我们做视频~,2017-12-14 22:40:05
感谢作者与UP主！,2017-12-15 15:15:03
感谢作者，感谢字幕君,2017-12-16 19:25:51
很感谢，看完了。,2017-12-17 17:17:30
初中狗表示非常简单,2017-12-18 20:43:45
完结撒花(❁´︶`❁)感谢up主和原作者,2017-12-18 20:55:22
计算机的报到,2017-12-19 00:24:51
完结撒花，感谢作者,2017-12-20 22:06:22
明天考政治，背不动背不动,2017-12-22 18:17:31
Thank you buddy！！,2017-12-23 17:31:02
我只想刷一串666,2017-12-24 02:29:59
接口！！,2017-12-24 20:20:02
抽象！！！！！！！！接口！！！！！！！！！！,2017-12-24 20:21:17
感谢原作者，感谢字幕组 (* ￣3)(ε￣ *),2017-12-24 20:33:24
完结撒花,2017-12-25 10:32:37
优雅，太优雅 了,2017-12-25 21:30:28
赞美撒花！！！,2017-12-25 22:04:43
感谢作者 感谢字幕组 完结撒花,2017-12-26 17:10:38
完结撒花,2017-12-26 23:36:01
这里也太可爱了 忍不住暂停发个弹幕哈哈哈,2017-12-27 11:01:38
完结撒花~感谢原作者，感谢up主！,2017-12-27 11:02:26
谢谢,2017-12-28 12:30:06
完结撒花,2017-12-28 16:01:19
感谢博主,2017-12-29 09:44:50
完结撒花,2017-12-29 18:04:24
线性变换就像驰骋在向量空间草原上的一匹匹骏马  丘维声老师说的真在理,2017-12-30 14:54:23
丘维声教材的别走 邱老师教材很好的  顺序不影响,2017-12-30 14:57:25
张量,2017-12-31 14:01:10
emmmm这是一个群。。。,2018-01-02 20:17:42
@G胖才是最骚的,2018-01-03 16:55:03
一刷完结撒花~~~等我二刷==,2018-01-04 17:12:03
18.1.4,2018-01-04 17:14:04
完结撒花,2018-01-05 15:57:05
感谢作者字幕组up主！！,2018-01-05 15:57:26
非常感谢！,2018-01-06 00:44:41
感谢,2018-01-06 23:35:17
最后的最后，，考试求过2333333,2018-01-06 23:35:39
干些UP主和翻译君,2018-01-07 15:14:34
大神，膜拜,2018-01-08 21:35:49
完结撒花,2018-01-08 21:35:56
完结撒花????感谢up主感谢字幕组！,2018-01-09 14:52:07
感谢作者！,2018-01-09 15:07:10
非常感谢,2018-01-09 22:23:13
感谢作者,2018-01-10 15:04:14
感谢作者，感谢字幕组,2018-01-11 20:56:06
areas还是翻译成范围比较好,2018-01-12 14:50:44
线性算子特指从V到V,2018-01-12 14:54:24
所以我们定义了向量空间啊……,2018-01-12 15:05:08
"之前作者讲的都是欧氏空间R^n，现在扩展到了函数空间C[a,b]而已",2018-01-12 15:04:45
欢迎有能力的人去Patrion支持作者,2018-01-12 15:11:51
感谢字幕组和作者,2018-01-12 22:15:28
受益匪浅,2018-01-15 22:22:52
撒花,2018-01-16 13:39:51
谢谢原作者，谢谢up主,2018-01-16 21:05:36
看到这里发现还有这么多人莫名开心,2018-01-17 16:13:26
动机不明 说的太好了,2018-01-17 18:13:30
超正方体,2018-01-17 18:15:41
想象成一个无限维的向量?,2018-01-17 18:22:12
把函数想象成一个无限维的向量,2018-01-17 18:23:32
呐呐……是不是有点像数学上的大统一理论,2018-01-17 18:28:24
范德蒙德行列式……?,2018-01-17 18:38:32
逆运算=逆矩阵……,2018-01-17 18:59:57
所以说我们的教材写得抽象是有理由的,2018-01-17 19:02:10
这里说的太好了,2018-01-17 19:11:29
数学是抽象的，其他利用数学作为工具的学科才把数学具象化了,2018-01-18 16:45:12
感谢作者，写的真好,2018-01-20 23:51:04
感谢原作者和字幕君,2018-01-21 12:07:13
谢谢！！！,2018-01-22 10:30:44
jiewei shahua,2018-01-23 04:30:51
thanks!!!,2018-01-23 04:30:58
回头再看一遍,2018-01-23 16:46:45
感谢，感谢，制作视频的，感谢字幕组，感谢up主,2018-01-23 20:42:16
从感性开始，再上升到理性,2018-01-24 20:12:48
多项式求导法则,2018-01-25 20:17:34
线性代数和微积分的碰撞,2018-01-29 08:54:39
依赖的条件越少，越能准确定义,2018-01-30 21:37:38
感谢！！,2018-02-01 17:09:45
3b1b的目的是可视化    数形结合     不会什么都教你,2018-02-02 02:42:00
所以泰勒是真的统一数学啊,2018-02-02 02:48:16
目瞪口呆,2018-02-03 17:22:17
谢谢老师！,2018-02-03 17:36:10
谢谢老师！,2018-02-03 17:36:38
傅里叶你个头,2018-02-05 05:40:27
跟函数式编程又有什么关系了 别装了,2018-02-05 05:42:30
多项式个毛 这里是说任意的函数,2018-02-05 05:45:01
能不能不要知道个名词就拿出来讲 又不是在讲泰勒,2018-02-05 05:46:49
怪不得C++ STL库里的数据结构叫vector 66666,2018-02-06 13:43:01
所以这就是面向对象的一些思想了。vector里可以装任何对象,2018-02-06 13:44:05
作者你过来，我要把我这个月的劳务分你一半,2018-02-07 19:36:56
这讲的感觉终于让我明白线性代数这个名字的由来了,2018-02-08 21:31:28
晚饭感谢！,2018-02-09 11:00:26
感谢,2018-02-09 11:00:41
哇！,2018-02-11 17:04:38
哇！！！,2018-02-11 17:25:14
撒花。,2018-02-11 17:26:34
感谢！！！,2018-02-12 17:00:12
谢谢大佬,2018-02-14 23:09:42
感谢作者，也感谢搬运up,2018-02-18 13:43:20
完结撒花hhh,2018-02-18 18:06:25
感觉学了几年假数学,2018-02-19 18:50:23
原来作者把学生当做π生物hhh,2018-02-19 18:53:52
thankyou master,2018-02-20 15:37:22
完蛋，想到了拉格朗日插值,2018-02-20 19:05:17
完结撒花,2018-02-20 23:32:55
感谢作者，感谢字幕组,2018-02-20 23:33:25
感谢作者，感谢字幕组,2018-02-24 01:49:34
这个视频改变了我的人生,2018-02-24 10:38:40
泰勒不就是从sinx开始推出来展开式的吗,2018-02-25 20:38:51
因为教过微商和不定积分互为逆运算啊 （对偶性）,2018-02-25 21:03:44
数学研究生是不是都知道这些秘密？,2018-02-25 21:16:39
我决定看作者的微积分的本质了，大家那里见,2018-02-25 21:29:39
请自行检索单位元逆元,2018-02-25 22:16:54
pi太可爱了,2018-02-25 22:34:28
数学系统不是设计出来的,2018-02-25 22:38:45
感谢作者,2018-02-25 22:51:22
👈指函数是特征向量的犀利哥你别走,2018-02-25 23:16:57
USTC CS毕业7年的本科狗跪谢原创作者和字幕组,2018-02-25 23:26:19
大一线性代数考了92还是96，但是对线性代数一无所知,2018-02-25 23:26:40
原创作者和字幕组 真心推动了人类进步,2018-02-25 23:27:35
没有人知道有哪位迷失在数学符号里的年轻人 由于这套视频成为明天冉冉升起的明星,2018-02-25 23:28:07
没有人知道有多少质疑自己不适合高等教育没能力做research的少年 因为这套视频重出江湖,2018-02-25 23:29:06
这里的媒介在计算机领域翻译成接口，也差不多是这个意思,2018-02-26 20:40:11
热泪盈眶,2018-03-01 11:39:58
谢谢咯,2018-03-01 11:53:22
π生物作例子好可爱23333,2018-03-01 13:14:29
十分感谢,2018-03-03 11:29:56
别以为自己会了点JAVA就开始对数学进行总结,2018-03-04 15:51:32
是的，编程有门槛，深度学习上升到一定理解之后，需要恶补数学,2018-03-04 15:55:02
完结撒花( •̀∀•́ )!二刷准备!,2018-03-04 22:22:09
三个代表？,2018-03-04 23:35:43
感谢作者！！！,2018-03-06 06:40:36
看得热泪盈眶。。。,2018-03-10 21:10:23
完结撒花,2018-03-12 22:34:01
感谢感谢！,2018-03-15 11:58:09
十分感谢,2018-03-16 00:01:03
感谢,2018-03-16 19:48:53
谢谢谢谢！,2018-03-17 11:14:42
感謝申し上げます,2018-03-20 00:25:50
关泰勒什么事,2018-03-20 20:21:01
完结撒花~,2018-03-23 11:03:35
多谢多谢,2018-03-25 19:54:37
大大的好,2018-03-26 14:55:11
感激~~,2018-04-02 20:53:04
泛函分析 希尔伯特空间,2018-04-03 01:27:10
哭了,2018-04-06 10:42:01
谢谢,2018-04-06 10:48:33
非常感谢，受益匪浅,2018-04-08 16:42:24
感谢作者！！帅炸了！！！,2018-04-10 20:46:07
作为渣码农一枚，发现自己的算法打通了任督二脉,2018-04-11 21:48:40
所以数学和编程是天作之合，都她妈抽象到了极点,2018-04-11 22:03:17
真诚的感谢作者和up主。,2018-04-12 21:04:03
谢谢谢谢！,2018-04-12 23:53:24
喵啊，喵！,2018-04-15 16:21:04
哪来那么多王，这些无关言论，能不能不发，对不起，忍不住发了一条,2018-04-16 16:41:09
打卡！颠覆认知！！,2018-04-17 13:32:24
完结撒花,2018-04-21 16:05:14
完结撒花~,2018-04-22 22:46:04
谢谢作者,2018-04-28 09:54:54
多谢,2018-04-28 09:55:02
谢谢谢谢,2018-04-29 13:13:47
完结泪目,2018-04-30 17:24:21
感谢,2018-04-30 17:55:37
妙啊,2018-05-02 06:19:37
感激不尽,2018-05-03 12:43:57
对线代有了新的认识,2018-05-04 02:06:17
不关泰勒事的打回重学吧,2018-05-05 17:52:20
感谢,2018-05-08 20:28:00
谢谢！普适的代价是抽象,2018-05-11 20:23:04
撒花 感谢,2018-05-15 22:31:34
撒花,2018-05-15 22:53:07
完结撒花,2018-05-20 00:49:17
感谢up,2018-05-20 20:40:07
我特么就服你,2018-05-20 20:41:01
感谢！,2018-05-20 21:15:41
⬅️因为泰勒展开会把所有函数用多项式近似,2018-05-27 10:33:54
真的很感谢,2018-05-27 19:52:57
谢谢咯,2018-06-04 09:38:38
完结撒花,2018-06-04 09:38:48
真正感受到了数学之美，谢谢UP主让我在这个时代能感受这么伟大的思想,2018-06-05 00:53:58
我要这硬币有何用,2018-06-05 00:54:49
谢谢老师！,2018-06-06 14:55:31
本科毕业8年的CS狗感谢UP主和原作者！,2018-06-07 16:29:00
为啥觉得评论区比视频还精彩 拓展出一大堆,2018-06-07 20:04:33
承包空屏,2018-06-07 20:12:44
没人想哭出来吗,2018-06-07 20:23:39
美滋滋,2018-06-07 20:24:44
读数学上的专有名词一般不都是不理解才说的吗？,2018-06-07 20:29:21
你看到我了，因为我是红色的哈哈哈哈,2018-06-07 20:42:59
完结撒花,2018-06-10 09:00:34
感谢作者,2018-06-10 15:26:32
感谢翻译组,2018-06-10 15:26:46
感谢bilibili,2018-06-10 15:26:57
收获真得太大了，感谢作者和译者，谢谢！！！,2018-06-11 14:29:27
一个连续函数 = 一个无穷维的向量,2018-06-16 00:20:37
感谢感谢(❁´ω`❁),2018-06-19 20:42:31
谢谢!,2018-06-23 15:02:04
完结撒花~,2018-06-26 10:27:52
高代学这个的时候特别抽象……,2018-06-26 19:49:15
把多项式看成坐标就行了,2018-06-26 19:49:47
展开成幂级数要看收敛域啊大哥,2018-06-26 19:53:57
数学系大一高等代数学的就是这些……玩意,2018-06-26 19:57:30
这8条……,2018-06-26 19:59:02
同构？,2018-06-26 20:00:26
这就是同构的概念了,2018-06-26 20:02:28
这小节视频的内容跟老师讲的一样，你们肯定没听课,2018-06-27 03:54:18
"各位,第一集见!",2018-06-27 11:15:38
感谢！,2018-06-30 10:05:01
完结撒花,2018-06-30 10:05:27
感激不尽,2018-07-01 11:34:18
导数,2018-07-01 21:14:22
%%%,2018-07-01 21:20:58
非常感谢,2018-07-04 20:11:33
十分感谢！！！！,2018-07-05 04:16:20
感谢感谢！！！！！,2018-07-06 20:08:46
这段钢琴听着真的舒服，和数学一样美妙,2018-07-06 20:09:26
这个我在万门大学听童哲的线代，也是先讲这个线性空间,2018-07-07 13:55:15
谢谢付出的努力，对我们这些凡人帮助太大了,2018-07-07 13:59:46
吸血鬼？,2018-07-07 14:45:57
为什么只有15集！！！！！！,2018-07-11 14:42:16
真的好！,2018-07-11 21:27:46
真的好！,2018-07-11 21:27:56
感激涕零,2018-07-12 20:54:49
谢谢老师,2018-07-13 11:46:02
感恩,2018-07-13 11:45:26
感谢,2018-07-16 07:03:08
这就是Matlab什么都能干的原因,2018-07-18 17:06:55
这个矩阵怎么来的？,2018-07-19 10:01:51
无线维分析入门，高数书最后一讲的内容,2018-07-21 21:56:48
完结散花~~~~,2018-07-24 22:07:38
.,2018-07-27 13:56:15
..,2018-07-27 13:56:57
完结撒花,2018-07-29 23:18:39
不定积分不是。想想看，这个矩阵没有逆,2018-07-30 16:33:30
定积分是，不定积分不是，这个矩阵没有逆,2018-07-30 16:33:56
   完结撒花,2018-07-30 16:45:50
Ye,2018-08-04 13:55:03
小学毕业，终于看完了，都懂了~~,2018-08-05 21:30:30
感谢作者,2018-08-09 08:21:35
感谢感谢，这个系列真的是太好了，解决了我很多在线代上的疑问,2018-08-09 12:44:48
比例更好，因为正交坐标系的面积是1，变化后的坐标系与正交之比。,2018-08-09 19:10:20
怪不得要学范德蒙行列式,2018-08-10 16:14:48
完结撒花,2018-08-12 15:51:18
QAQ画质感人,2018-08-13 19:40:12
你初中要是知道这些可能就不只是头晕了,2018-08-15 15:13:03
这个很难理解吗……,2018-08-15 15:15:24
微积分的本质=高等数学的本质,2018-08-16 11:18:38
作者也把自己当作π生物,2018-08-16 11:43:08
感谢，醍醐灌顶,2018-08-16 22:11:12
那矩阵相乘就是函数复合喽？,2018-08-18 15:15:06
这不是求了个导嘛,2018-08-18 15:15:59
哈哈哈different,2018-08-18 15:31:59
稀有的橙色pi   (∼‾▽‾)→)),2018-08-18 15:37:02
完结撒花,2018-08-18 15:51:41
头皮发麻,2018-08-23 12:29:19
完结撒花,2018-08-23 12:34:43
感谢,2018-08-25 14:42:22
谢谢,2018-08-28 10:16:39
感谢，十分受益~,2018-08-28 22:30:54
感激不尽！！,2018-08-31 13:08:38
和函数式编程有一毛关系？不懂别出来秀好吗,2018-09-02 00:56:59
Hessian matrix,2018-09-02 01:02:10
感谢作者和字幕组，再看一遍。。,2018-09-02 16:06:19
感谢老师！！！,2018-09-03 17:20:08
"函数用点值表示法表示不是很容易想到FFT吗,毕竟O(NlogN)求两n次多项式乘积",2018-09-07 19:59:39
多项式求导不是本来就挺简单吗...,2018-09-07 20:08:28
"构成了一个环,不止是群,数乘..是幺半群,加法是交换群",2018-09-07 20:22:58
没工程经验的非专业人士能不能别说话,2018-09-07 20:24:57
对……马上想到幂级数展开 和傅立叶级数,2018-09-08 18:29:52
解微分方程,2018-09-08 18:30:49
太赞了！！！感动！！！,2018-09-13 12:01:51
感谢作者，感谢字幕组,2018-09-17 23:47:33
谢谢老师,2018-09-19 10:38:05
感谢！！！,2018-09-22 11:16:09
表白字幕组和作者！！！！！,2018-09-22 11:16:30
感谢,2018-09-22 23:16:37
感谢字幕组作者,2018-09-25 13:53:44
1,2018-09-25 14:20:33
嗯，数学是一门语言,2018-09-25 14:40:55
谢谢up主，谢谢作者！,2018-09-25 19:51:15
这视频真的启发了我很多，谢谢,2018-09-27 00:24:01
大家不妨想想大佬是如何想到这些东西的,2018-09-27 00:25:00
无忌，你还记得多少,2018-09-27 00:33:02
天啦，我怎么想不到，真的神奇,2018-09-28 19:41:53
无忌，你还记得多少,2018-09-28 20:25:40
感谢分享你的这些想法，万分感谢,2018-09-28 20:27:18
下课，起立，老 师 再 见,2018-09-28 20:28:43
谢谢，也祝你在数学的世界里面玩的开心o(*￣▽￣*)ブ,2018-09-28 20:30:05
谢谢,2018-09-28 20:30:19
右下角那个是巴尔布基学派的定义，他们想用集合论统一数学,2018-09-28 22:36:28
这部分 算是用集合论来表达代数系统的一个努力,2018-09-28 22:37:04
666666,2018-09-30 14:23:30
感谢,2018-09-30 14:25:26
多谢,2018-10-01 20:41:42
完结撒花,2018-10-03 17:05:21
完结撒花,2018-10-04 15:54:03
谢谢,2018-10-04 20:49:41
谢谢,2018-10-05 10:18:36
谢谢你！！！,2018-10-05 10:18:46
这集很关键啊,2018-10-05 22:00:55
接口秒懂,2018-10-05 22:04:48
感谢(❁´ω`❁),2018-10-05 22:07:17
完结撒花,2018-10-07 15:27:08
完结撒花！感谢原视频作者、阿婆和翻译！,2018-10-08 05:18:07
看一遍不过瘾鸭,2018-10-08 15:51:08
感谢老师！！,2018-10-09 15:49:48
有能力的童鞋可以去官网贡献，这就是知识产权的意义呀！不能劣币驱良币呀！,2018-10-09 15:51:09
66666666666666666666666666666666666666666666666666666666,2018-10-10 21:59:47
Good Luck,2018-10-10 22:10:31
完结撒花？,2018-10-11 22:12:26
完结撒花,2018-10-11 22:12:44
信号与系统中的时域部分提及过微分算子,2018-10-13 15:46:07
非常感謝,2018-10-18 13:39:52
感謝,2018-10-18 13:39:13
2333333333333333,2018-10-24 15:58:53
都是狗的你别跑,2018-10-24 16:03:16
我现在终于明白了为什么很多人都说要把矩阵想象成一个大机器,2018-10-24 21:29:36
谢谢！谢谢！谢谢！,2018-10-24 21:34:08
最后一节了 太震撼了,2018-10-25 22:16:29
泪目,2018-10-26 14:44:39
嗯,2018-10-27 14:41:32
嗯,2018-10-27 14:41:43
感谢原作者,2018-10-27 14:45:24
感谢分享,2018-10-29 20:47:31
X进制,2018-10-30 01:17:53
学习完成，十分感谢，撒花撒花,2018-10-30 16:59:01
感谢作者和制作人员,2018-11-01 20:54:59
我是第一千条弹幕,2018-11-03 15:26:57
集合,2018-11-03 17:11:43
出现了一个紫色的pi,2018-11-04 11:06:46
非常感激,2018-11-05 11:48:30
感谢感谢,2018-11-05 21:13:42
感谢作者，UP主，作者，字幕组,2018-11-06 11:31:10
感谢作者,2018-11-09 05:43:48
向量是个类,2018-11-11 18:07:38
线性回归,2018-11-12 14:11:55
基像？,2018-11-14 09:45:12
无限维线性空间,2018-11-14 09:47:36
线性空间的同构,2018-11-14 09:48:40
感谢字幕组和原作,2018-11-16 11:44:23
好可愛啊,2018-11-16 23:44:21
谢谢搬运与作者,2018-11-18 18:32:11
三周目。感谢感谢大感谢！,2018-11-19 00:37:29
感谢！,2018-11-20 21:29:48
感谢,2018-11-21 11:51:58
完结撒花！！感谢up！！！,2018-11-22 17:15:24
好可爱啊,2018-11-22 17:29:21
完结撒花！感谢up和一起看的小伙伴！,2018-11-22 17:32:32
哇，笔记大功告成,2018-11-23 21:38:38
为了，复旦,2018-11-23 21:38:54
非常感谢，理解加深，中国老师从来没有这么教过，怕是不会忘 了,2018-11-25 20:04:18
感谢作者,2018-11-25 21:34:15
爽,2018-11-26 00:27:14
感谢,2018-11-26 00:28:00
哭了,2018-11-26 19:54:49
感谢！,2018-11-27 11:20:46
感谢3b1b 感谢字幕组,2018-11-27 11:21:12
感谢作者让我体会到数学的美妙,2018-11-27 11:22:42
感谢付出！！！,2018-11-27 20:46:10
非常感谢,2018-11-27 22:23:53
佩服+感谢,2018-11-28 16:57:24
感谢,2018-11-29 15:11:12
张宇：这些都是狗,2018-12-04 16:21:26
感谢作者和up,2018-12-05 09:19:13
从最本质的开始讲你能理解？,2018-12-05 23:27:00
物理系的表示数学也很这么好玩,2018-12-05 23:29:29
谢谢,2018-12-05 23:30:36
完结撒花,2018-12-08 21:00:57
完结撒花！,2018-12-09 17:34:06
谢谢作者和翻译组！！,2018-12-16 21:13:28
真的很少发弹幕的 非常感谢up主和字幕组啦！！真的是非常优秀的资源了 让我在期末复习之前用一个周末的时间重学了一遍线代（我以前学的都是些啥啊...虽然认真听课...,2018-12-17 10:57:26
就是不让那些奇怪的定义就找,2018-12-18 10:12:29
xiu,2018-12-18 10:12:40
阻碍奇怪,2018-12-18 10:12:59
二刷感谢,2018-12-18 10:18:42
谢谢主播，我已经全部明白了,2018-12-18 11:08:53
感谢,2018-12-18 15:37:57
感谢！！！,2018-12-18 15:38:15
醍醐灌顶,2018-12-19 00:14:55
非常感谢！！,2018-12-19 00:19:46
第一次被数学的简洁之美震撼到了,2018-12-19 00:21:00
谢谢！,2018-12-20 11:57:17
感谢感谢,2018-12-20 15:59:33
竟然含有这种操作 吃惊.jpg,2018-12-20 20:58:14
感谢,2018-12-22 11:48:37
妙啊,2018-12-25 15:11:36
这就是所谓的一表三千里吧,2018-12-25 15:16:20
感谢大大们,2018-12-26 20:32:21
我竟然在B站系列、。、,2018-12-28 06:52:10
666,2018-12-28 07:02:41
完结,2018-12-29 17:43:22
啪啪啪啪啪啪鼓掌,2018-12-30 17:23:56
啪啪啪啪啪鼓掌,2018-12-30 17:24:14
谢谢,2018-12-31 02:34:15
2018.——2.——31晚2点半撒花感谢,2018-12-31 02:36:06
感谢作者大大,2018-12-31 16:06:46
封闭？,2019-01-02 16:45:18
模板！,2019-01-02 19:54:07
感谢！,2019-01-04 03:19:29
这就是数学的形而上学吧,2019-01-06 17:09:13
完结撒花！,2019-01-06 17:11:01
感谢！完结撒花！,2019-01-06 20:35:38
感谢！,2019-01-09 16:21:19
dddddd！,2019-01-09 19:00:42
真的致谢！！无论是搬运还是原作者,2019-01-09 19:09:47
非常感谢！！,2019-01-09 23:11:33
下课下课,2019-01-10 16:20:56
谢谢！,2019-01-13 01:16:55
谢谢您,2019-01-14 01:22:52
我靠！！原来是这样,2019-01-14 20:56:38
挖草！！,2019-01-14 21:03:19
数学之美,2019-01-14 21:07:19
感谢,2019-01-14 21:08:43
血书感谢,2019-01-17 16:20:21
感谢字幕组！！！,2019-01-19 16:33:12
完结撒花~,2019-01-19 20:37:55
比如说，求导就是线性变换,2019-01-20 05:07:47
谢谢,2019-01-20 15:54:37
谢谢,2019-01-20 15:53:58
"写成矩阵要求是有限维, 充其量可数维.",2019-01-20 17:36:58
完结撒花,2019-01-23 18:42:12
南七技校的渣合影留念,2019-01-24 15:10:31
线性表示要求是基中有限个向量的线性组合去表示，这里最好先不谈级数的事,2019-01-25 18:35:36
其实你们并没有懂,2019-01-26 12:25:53
下课！,2019-01-26 12:27:08
课代表安排一下作业,2019-01-26 12:27:18
完结撒花,2019-01-27 15:09:47
完结撒花,2019-01-27 15:32:43
一口气全集，真的很有帮助 大爱grant!,2019-01-27 17:55:45
跪着,2019-01-27 18:06:03
热泪盈眶,2019-01-27 18:11:47
感谢作者，感谢汉化,2019-01-27 18:12:50
那是二维投影哈哈,2019-01-28 14:03:45
数学即哲学,2019-01-29 00:03:52
数学就是形而上学啊,2019-01-29 00:03:31
Thank you very much!,2019-01-29 21:41:55
感谢up主和作者，向你们的精神致敬！,2019-01-30 10:21:53
我走了,2019-01-31 19:45:18
天秀,2019-02-04 15:00:05
强,2019-02-08 23:00:23
感谢作者和翻译组！感受到了数学之美！,2019-02-09 22:48:38
积分运算也是吧,2019-02-10 11:26:58
完结撒花,2019-02-12 12:12:01
计算机类的来辽,2019-02-12 14:24:20
完结撒花,2019-02-12 14:24:45
研究生读到一半来补课 撒花撒花,2019-02-13 21:03:06
谢谢老师！,2019-02-16 13:46:22
感谢译者,2019-02-16 13:46:33
学计算机的加我一个！！！！,2019-02-20 18:31:10
完结撒花，特征向量那里还有一些问题留待思考,2019-02-21 10:44:29
感谢感谢！！！！,2019-02-23 20:37:28
撒花,2019-02-24 22:41:05
完结撒花！感谢陪伴！,2019-02-25 19:47:04
不得不服,2019-02-27 23:07:34
厉害了,2019-02-27 23:09:11
太美妙了,2019-02-27 23:09:43
明明是卷积,2019-02-28 15:26:23
没错 就是为了让你们看不懂 其实很简单  ^_^,2019-03-01 10:10:59
完结撒花，还有七个小伙伴你们好啊,2019-03-01 10:46:09
串了一位,2019-03-01 11:50:43
java程序员真多，,2019-03-01 12:02:32
完结撒花,2019-03-04 00:15:46
感谢原作者,2019-03-04 00:15:53
金色传说π,2019-03-04 12:34:02
完结撒花,2019-03-06 10:07:26
感谢作者，感谢翻译,2019-03-07 15:30:49
积分也是,2019-03-10 11:44:07
tx,2019-03-10 20:22:35
理论物理的LOL,2019-03-13 19:31:36
刚刚下载了题集,2019-03-15 22:52:40
不做题浪费了学这么多,2019-03-15 22:53:01
感谢,2019-03-17 11:59:12
突然？？,2019-03-18 22:28:56
感谢作者。,2019-03-18 22:36:45
完结撒花,2019-03-20 10:12:15
完结撒花~~~,2019-03-20 10:11:48
多项式,2019-03-21 02:33:35
学完线性就能搞张量了,2019-03-21 02:37:17
感谢~,2019-03-21 09:56:05
