车辆品牌,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,,,,,,,,,,
雷克萨斯IS,2011款,IS250,2.5,自动,运动版(进口),2013年1月,5.6,22.01,40.1,,,,,,,,,,
日产玛驰,2010款,玛驰,1.5,自动,XL 易炫版,2010年12月,6,4,9.1,,,,,,,,,,
宝马X1,2014款,X1 sDrive18i,2.0T,自动,运动设计套装,2014年4月,1.8,27.1,43.2,,,,,,,,,,
宝马5系,2012款,535Li,3.0T,自动,领先型,2012年4月,5.9,34,69.4,,,,,,,,,,
传祺GS4,2015款,,1.3T,双离合,200T 豪华版,2016年3月,0.8,12.9,14.8,,,,,,,,,,
宝马3系,2014款,328Li xDrive,2.0T,自动,豪华设计套装,2015年4月,1.4,35.6,52.8,,,,,,,,,,
大众宝来,2008款,宝来,1.6,手动,时尚版,2009年6月,12,5,11.7,,,,,,,,,,
现代ix35,2010款,,2,自动,GLS 两驱精英型,2010年7月,8.6,10,21.3,,,,,,,,,,
奥迪A6L,2012款,A6L,2.0TFSI,无级,标准型,2013年9月,6.3,29.98,44.5,,,,,,,,,,
雪铁龙C5,2010款,C5,2.3,自动,尊雅型,2010年6月,12.5,9.1,21.7,,,,,,,,,,
福特蒙迪欧,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2012年11月,3.8,11.8,21.7,,,,,,,,,,
本田思域,2009款,思域,1.8,自动,Vti 豪华版,2010年2月,8.7,7.53,18.2,,,,,,,,,,
本田雅阁,2014款,第九代雅阁,2,无级,LX 舒适版,2014年6月,8.7,14.5,19.5,,,,,,,,,,
现代ix35,2012款,,2.4,自动,GLS两驱尊贵型,2012年5月,5.1,13,23.2,,,,,,,,,,
日产奇骏,2010款,奇骏,2.5,无级,XV旗舰版,2010年6月,12,11.8,28.1,,,,,,,,,,
奔驰A级,2013款,A,180,1.6T,双离合 时尚型(进口),2013年8月,4.2,17.5,27.4,,,,,,,,,,
奥迪A6L,2014款,A6L,2.0TFSI,无级,标准型,2014年4月,2.7,33,44.5,,,,,,,,,,
奥迪A4L,2013款,A4L,1.8TFSI,手动,30TFSI 舒适型,2015年1月,0.8,20.7,29.6,,,,,,,,,,
凯迪拉克SRX,2014款,,3.0SIDI,自动,两驱精英型(进口),2014年4月,4.4,33,51,,,,,,,,,,
大众夏朗,2013款,夏朗,2.0TSI,双离合,标配版(进口),2014年9月,1.1,26.5,34.1,,,,,,,,,,
奥迪Q7,2015款,Q7,3.0TFSI,自动,40TFSI尊藏型(进口),2015年6月,0.6,85,134.6,,,,,,,,,,
江淮瑞风祥和,2011款,,2,手动,汽油长轴政采版,2014年8月,7.7,7.6,12.5,,,,,,,,,,
奇瑞QQme,2009款,,1.3,手动,欢动版,2009年10月,3.6,1.7,6.3,,,,,,,,,,
大众迈腾,2010款,迈腾,1.4TSI,双离合,标准版,2010年6月,9.5,10.5,21,,,,,,,,,,
宝马3系,2011款,325i,2.5,自动,豪华型,2011年12月,5.4,20.5,48.3,,,,,,,,,,
路虎揽胜极光Coupe,2013款,,2.0T,自动,3门眩蓝限量版(进口),2013年11月,2.8,38,71.4,,,,,,,,,,
大众迈腾,2015款,迈腾,2.0TSI,双离合,尊贵型,2015年5月,1.9,22,29.1,,,,,,,,,,
日产颐达,2009款,颐达,1.6,自动,JE科技版,2009年4月,5.8,5.3,14.4,,,,,,,,,,
宝马5系,2014款,528Li xDrive,2.0T,自动,领先型,2015年1月,3.2,45,62.6,,,,,,,,,,
福特全顺,2006款,经典全顺,2.4,手动,长轴中顶物流版5-9座,2010年11月,12,10,17.4,,,,,,,,,,
本田雅阁,2014款,第九代雅阁,2,无级,EX豪华版,2014年11月,5.7,15.6,22.4,,,,,,,,,,
宝马5系,2012款,520Li,2.5,自动,典雅型,2012年3月,13.6,25.5,46.5,,,,,,,,,,
奥迪A4L,2009款,A4L,2.0TFSI,无级,132kw舒适型,2009年9月,14.2,13.6,35.8,,,,,,,,,,
大众尚酷,2011款,尚酷,2.0TSI,双离合,豪华版(进口),2011年7月,7.8,15,33.8,,,,,,,,,,
Jeep自由客,2013款,,2.4,无级,运动版(进口),2012年4月,5.7,16.1,26.7,,,,,,,,,,
MINI,2007款,Mini Cooper,1.6,自动,Excitement(进口),2009年11月,4.6,11.9,34.5,,,,,,,,,,
丰田卡罗拉,2008款,卡罗拉,1.8,手动,GL-i天窗特别版,2008年12月,3.7,5.8,15.2,,,,,,,,,,
大众捷达,2008款,捷达,1.6,手动,CIF-P伙伴,2008年12月,10.4,3.2,8.1,,,,,,,,,,
福特福克斯,2015款,福克斯-三厢,1.6,双离合,舒适型,2015年10月,2.9,9.2,13.5,,,,,,,,,,
马自达6,2014款,6,2,自动,经典型,2014年10月,2.2,11,15.2,,,,,,,,,,
一汽骏派D60,2015款,,1.8,自动,尊贵型,2014年11月,2,7.5,10.8,,,,,,,,,,
别克英朗,2010款,英朗XT,1.6L,自动,时尚版,2010年12月,6.9,6.5,,,,,,,,,,,
大众高尔夫,2011款,高尔夫6,1.4TSI,双离合,舒适版,2011年11月,4.2,9.2,16.3,,,,,,,,,,
绅宝,2013款,,2.3T,自动,豪华版,2013年11月,5.1,9.2,23.4,,,,,,,,,,
现代索纳塔,2014款,第八代索纳塔,2.4,自动,GLS领先版,2014年2月,4.6,13.5,21.7,,,,,,,,,,
比亚迪F3,2011款,,1.5,手动,白金版GL-I 舒适型,2011年11月,5.3,2.5,5.7,,,,,,,,,,
斯巴鲁力狮,2010款,,2.5i,无级,豪华版(进口),2011年6月,4.8,13.9,29.8,,,,,,,,,,
大众速腾,2009款,速腾,2,手动,舒适真皮版,2009年3月,10.8,5.8,17.1,,,,,,,,,,
现代新胜达,2012款,,2.4,自动,7座四驱至尊版(进口),2012年3月,9.6,16.5,31.1,,,,,,,,,,
现代新胜达,2013款,,2.4,自动,GLS两驱智能型5座,2013年5月,8.9,17.5,27.1,,,,,,,,,,
丰田雅力士,2011款,雅力士,1.6G,自动,炫动版,2012年10月,4.9,5.65,10.9,,,,,,,,,,
吉利英伦SC7,2010款,,1.5,手动,基本型,2010年11月,8.7,2.3,6.9,,,,,,,,,,
奥迪Q5,2012款,Q5,2.0TFSI,自动,技术型,2013年7月,2.9,30,46.4,,,,,,,,,,
沃尔沃XC60,2015款,,3.0T,自动,T6智逸版(进口),2014年12月,3.7,38.2,59.4,,,,,,,,,,
宝马5系,2014款,530Li,3,自动,风尚设计套装,2013年12月,5.1,40,69.8,,,,,,,,,,
福特嘉年华,2009款,嘉年华-两厢,1.5,自动,运动型,2010年4月,2.3,6.5,11.8,,,,,,,,,,
别克君越,2013款,,2.4SIDI,自动,豪华舒适型,2016年1月,1.5,21,29.9,,,,,,,,,,
福特猛禽,2011款,F-150SVT,6.2,自动,(进口),2013年7月,5,41.5,71.4,,,,,,,,,,
宝马3系,2010款,320i,2,自动,豪华型(进口),2010年7月,7.8,15.8,40.7,,,,,,,,,,
宝马3系,2014款,328i,2.0T,自动,运动设计套装(进口),2013年10月,5,29.5,47.3,,,,,,,,,,
福特福克斯,2009款,福克斯-两厢,2,自动,运动型,2010年1月,5.9,6.5,16.7,,,,,,,,,,
奔驰M级,2014款,ML320 4MATIC,3.0T,自动,(进口),2015年1月,0.7,63,87.7,,,,,,,,,,
三菱君阁,2010款,,2,手动,7座豪华版,2010年8月,3.5,6.2,16.3,,,,,,,,,,
长城M2,2012款,,1.5,手动,两驱都市版,2012年7月,7.6,4.5,7.4,,,,,,,,,,
路虎揽胜极光,2013款,2.0T,自动,耀致版(进口),,2013年9月,2.9,36.9,68.2,,,,,,,,,,
大通G10,2014款,2.0TGI,自动,豪华行政版7座,,2015年3月,1.5,20,23.9,,,,,,,,,,
奥迪A4L,2012款,A4L,2.0TFSI,无级,132kw标准型,2012年5月,7,19,33.6,,,,,,,,,,
标致508,2011款,,2.3,自动,旗舰版,2012年12月,7.5,13.5,24.9,,,,,,,,,,
奥迪A6L,2011款,A6L,2.0TFSI,无级,标准型,2012年2月,14.7,20,42.3,,,,,,,,,,
大众途观,2010款,途观,1.8TSI,自动,两驱风尚版,2011年4月,7.7,15,25.4,,,,,,,,,,
铃木雨燕,2008款,,1.5,手动,冬恋炫锐限量版,2008年10月,5.7,2.75,9,,,,,,,,,,
现代途胜,2009款,,2,手动,两驱时尚型,2012年12月,9.7,9,18.4,,,,,,,,,,
丰田皇冠,2010款,皇冠,2.5,自动,Royal真皮版,2011年7月,14.1,18,36.6,,,,,,,,,,
福特蒙迪欧,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2011年9月,8.4,10.8,21.7,,,,,,,,,,
大众速腾,2010款,速腾,1.4TSI,双离合,豪华版,2010年3月,9,8.5,18.4,,,,,,,,,,
金杯海狮,2011款,,2,手动,快运 豪华型V20,2011年3月,9.6,3.4,7.7,,,,,,,,,,
雪铁龙世嘉,2011款,世嘉-三厢,1.6,手动,时尚型,2011年8月,4.5,5.2,11.8,,,,,,,,,,
沃尔沃S80L,2009款,,2.5T,自动,智雅版,2009年10月,12.9,14.6,46.7,,,,,,,,,,
奔驰M级,2012款,ML350,3.5,自动,四驱动感型(进口),2013年9月,4.7,58,97.5,,,,,,,,,,
路虎揽胜运动版,2013款,,5,自动,V8 NA 黑标限量版(进口),2012年12月,4.1,75,154.2,,,,,,,,,,
东风风行菱智,2016款,菱智M3L,1.6,手动,豪华型7座,2015年12月,2.2,7.3,8.1,,,,,,,,,,
铃木北斗星E+,2009款,,1.4,手动,,2009年8月,13.1,1.6,5.4,,,,,,,,,,
荣威550,2009款,,1.8,自动,DVVT启臻版,2009年9月,6.4,5.3,16.4,,,,,,,,,,
哈弗H6,2013款,,1.5T,手动,两驱升级版精英型,2014年1月,3.6,8.8,12.6,,,,,,,,,,
本田思铂睿,2009款,思铂睿,2.4,自动,TYPE-S,2012年6月,3.6,14,27.8,,,,,,,,,,
奔驰S级,2012款,S350L,3.5,自动,四驱Grand Edition(进口),2011年6月,8.9,51,157.2,,,,,,,,,,
大众Polo,2011款,POLO,1.4,自动,致酷版,2013年1月,0.8,8.6,12.9,,,,,,,,,,
比亚迪F0,2012款,,1,手动,铉酷型,2014年3月,1.3,2.3,4,,,,,,,,,,
雪铁龙世嘉,2013款,世嘉-三厢,2,手动,品悦型,2013年9月,2,7.3,12.7,,,,,,,,,,
北京E系列,2013款,EV电动版,,,,2013年12月,1.9,5,27.1,,,,,,,,,,
马自达6,2008款,6,2,自动,时尚版,2009年8月,5.5,7.8,19.5,,,,,,,,,,
雪佛兰科鲁兹,2009款,,1.6,自动,SE,2009年12月,3.4,6.5,14.4,,,,,,,,,,
丰田花冠,2011款,花冠EX,1.6,自动,豪华版,2011年9月,5.1,6.8,12.5,,,,,,,,,,
大众高尔夫,2014款,高尔夫7,1.4TSI,双离合,旗舰型,2014年12月,1.8,14.8,19.9,,,,,,,,,,
大众迈腾,2012款,迈腾,2.0TSI,双离合,改款豪华版,2012年10月,11,16.5,26.9,,,,,,,,,,
福特福克斯,2012款,经典福克斯-两厢,1.8,手动,时尚型,2012年7月,3.6,7.8,12.2,,,,,,,,,,
丰田锐志,2010款,锐志,2.5V,自动,风度菁英版,2011年11月,7.1,14,24.9,,,,,,,,,,
丰田普拉多,2010款,普拉多,4,自动,TX-L,2013年8月,5.5,48,62.7,,,,,,,,,,
宝马7系,2009款,740Li,3.0T,自动,豪华型(进口),2010年2月,8.5,42.5,149.6,,,,,,,,,,
长安商用欧诺,2012款,,1.5,手动,运动精英型,2013年7月,6,4,6.1,,,,,,,,,,
现代ix35,2012款,,2,自动,GLS两驱精英型,2012年5月,4.8,12,21.3,,,,,,,,,,
东南V3菱悦,2009款,,1.5,手动,旗舰升级版,2009年11月,3.1,2.8,7.8,,,,,,,,,,
五菱宏光S,2015款,宏光S,1.5,手动,基本型5座,2015年1月,2.3,4.5,5.6,,,,,,,,,,
奥迪A4L,2009款,A4L,2.0TFSI,无级,132kw豪华型,2009年9月,12.4,16,42.2,,,,,,,,,,
大众朗行,2013款,朗行,1.6,自动,舒适版,2014年1月,3.7,10.5,15.3,,,,,,,,,,
路虎揽胜极光,2012款,,2.0T,自动,耀动版(进口),2012年9月,10.1,34,68.2,,,,,,,,,,
海马福美来二代,2010款,,1.6,手动,舒适版,2010年5月,6,3.5,8.3,,,,,,,,,,
福特全顺,2009款,,2.8T,,柴油多功能型短轴中顶JX493ZLQ3,2012年10月,3.7,10.8,,,,,,,,,,,
本田CR-V,2015款,,2,无级,EXi,2015年9月,3.8,17.7,21.7,,,,,,,,,,两驱风尚版
起亚锐欧,2007款,,1.4,手动,GL,2008年11月,8.9,2.7,7.6,,,,,,,,,,
马自达6,2007款,6,2,自动,豪华版,2010年4月,9.4,7.3,20.6,,,,,,,,,,
比亚迪S7,2015款,,2.0TID,双离合,尊贵型,2016年2月,2,12.5,14.1,,,,,,,,,,
金杯阁瑞斯,2013款,,2,手动,全运纪念版标准型长轴11座,2014年1月,3.6,7.8,10.1,,,,,,,,,,
福特福克斯,2009款,福克斯-两厢,1.8,自动,时尚型,2009年1月,7.3,5.5,14.6,,,,,,,,,,
奇瑞风云2-两厢,2010款,,1.5,手动,豪华版,2010年11月,10,3.2,6.4,,,,,,,,,,
雪佛兰景程,2010款,,1.8,自动,SX豪华版,2010年6月,7.9,5.9,16.8,,,,,,,,,,
奔驰E级,2010款,E300,3,自动,时尚型豪华版(进口),2009年8月,14.3,22.5,75.8,,,,,,,,,,
大众速腾,2010款,速腾,1.4TSI,手动,技术版,2010年4月,5.4,8,16.2,,,,,,,,,,
保时捷Macan,2014款,Macan,2.0T,双离合(进口),,2015年5月,2.5,55.8,60.6,,,,,,,,,,
奔驰C级,2011款,C260CGI,1.8T,自动,时尚型,2011年10月,6.8,25,46.5,,,,,,,,,,
丰田卡罗拉,2009款,卡罗拉,1.6,自动,GL天窗特别版,2009年11月,10.8,5.7,15.9,,,,,,,,,,
奇瑞QQ3,2011款,,0.8,手动,启航版,2010年12月,5.6,1.36,3.7,,,,,,,,,,
保时捷卡宴,2011款,卡宴,3.0T,自动(进口),,2013年3月,4.8,80,100.1,,,,,,,,,,
本田歌诗图,2012款,歌诗图,2.4,自动,豪华版,2012年7月,5,16.5,28.2,,,,,,,,,,
大众帕萨特,2014款,帕萨特,1.8TSI,双离合,御尊版,2014年8月,7,19,26,,,,,,,,,,
奥迪Q7,2011款,Q7,3.0TFSI,自动,专享型200kw(进口),2010年12月,11.9,48,119.2,,,,,,,,,,
奔驰R级,2010款,R300L,3,自动,商务型（进口）,2012年8月,6.7,38,75.8,,,,,,,,,,
雷克萨斯RX,2012款,RX270,2.7,自动,豪华版(进口),2012年5月,4.5,34,62.2,,,,,,,,,,
雪铁龙毕加索,2007款,毕加索,2,自动,豪华型天窗版,2008年9月,7.4,4.8,16.8,,,,,,,,,,
日产奇骏,2012款,奇骏,2.5,无级,XL豪华版,2014年3月,5.8,18,26,,,,,,,,,,
福特蒙迪欧,2007款,蒙迪欧致胜,2.3,自动,豪华型,2009年6月,9,8,21.7,,,,,,,,,,
大众迈特威,2014款,迈特威,2.0T,双离合,行政版(进口),2014年4月,5.4,58,88.8,,,,,,,,,,
雪铁龙C5,2013款,C5,2.3,自动,尊驭型,2013年9月,6.2,13.5,22.3,,,,,,,,,,
丰田雅力士,2008款,雅力士,1.6G,自动,精致版,2008年11月,3.8,4,11.5,,,,,,,,,,
华泰宝利格,2012款,,1.8T,手动,两驱智汇版,2012年9月,5.6,6,13,,,,,,,,,,
别克林荫大道,2010款,,3,自动,豪华版,2010年11月,10.4,15,40.2,,,,,,,,,,
长安CX20,2011款,,1.3,手动,运动版,2012年11月,9.5,3.09,6,,,,,,,,,,
中华骏捷FRV,2008款,,1.3,手动,豪华版,2010年3月,6.6,3,6.9,,,,,,,,,,
奔驰B级,2009款,B200,2,无级,动感型(进口),2010年9月,3.2,16,31.3,,,,,,,,,,
宝马5系,2013款,525Li,2.0T,自动,豪华型,2013年1月,11.6,33,53.7,,,,,,,,,,
奇瑞A3-两厢,2010款,,1.6,手动,进取版,2010年12月,6.3,3,8.1,,,,,,,,,,
宝马X6,2014款,X6 xDrive35i,3.0T,自动,运动型(进口),2014年6月,2.7,75,106.8,,,,,,,,,,
奇瑞QQ3,2011款,,0.8,手动,基本版,2011年5月,4.4,1.5,3.3,,,,,,,,,,
路虎揽胜运动版,2012款,,5.0T,自动,V8 SC HSE(进口),2012年12月,4.3,120,183.2,,,,,,,,,,
奥迪Q3,2013款,Q3,2.0TFSI,双离合,35TFSI quattro技术型,2014年6月,9.9,23.5,36.2,,,,,,,,,,
奥迪Q5,2010款,Q5,3.2,双离合,运动版(进口),2011年8月,13.6,35,71.4,,,,,,,,,,
别克威朗,2015款,,1.5T,双离合,20T精英型,2016年4月,1.5,14.8,18.8,,,,,,,,,,
丰田RAV4,2011款,RAV4,2,自动,豪华版,2011年10月,6.1,14,24.9,,,,,,,,,,
大众途观,2013款,途观,1.8TSI,自动,四驱豪华版,2013年10月,3.3,23,30,,,,,,,,,,
别克君越,2013款,,2.4,自动,精英舒适型,2015年8月,4.2,20,27.8,,,,,,,,,,
大众Polo,2008款,Cross POLO,1.6,手动,,2008年9月,4.8,5.1,11.5,,,,,,,,,,
福特福克斯,2011款,福克斯-两厢,1.8,手动,舒适型,2010年8月,4.3,5.6,12.5,,,,,,,,,,
宝马3系,2012款,320i,2,自动,时尚型,2011年7月,12.1,16.5,38.1,,,,,,,,,,
铃木北斗星,2009款,,1.4,手动,EC经济版,2010年9月,3.7,1.95,4.8,,,,,,,,,,
大众帕萨特,2007款,帕萨特 领驭,1.8T,自动,豪华版,2009年1月,6.3,8.9,23.3,,,,,,,,,,
宝马5系,2011款,GT 535i,3.0T,自动,典雅型(进口),2013年1月,5.5,48,87.8,,,,,,,,,,
五菱荣光,2009款,,1.2,手动,标准7座,2009年8月,12.7,1.6,,,,,,,,,,,
宝马3系,2010款,320i,2,自动,豪华型(进口),2012年4月,10.4,22,40.7,,,,,,,,,,
MINI,2012款,Mini Cooper S,1.6T,自动,Fun(进口),2012年8月,7.2,17,34.6,,,,,,,,,,
奔驰GLK级,2011款,GLK350,3.5,自动,四驱版(进口),2012年1月,6.9,33.5,79,,,,,,,,,,
马自达6,2014款,6,2,自动,经典型,2014年3月,3.9,11,15.2,,,,,,,,,,
别克GL8,2012款,,2.4,自动,BASE,2012年6月,7.5,15,24.7,,,,,,,,,,
道奇酷威,2010款,,2.7,自动,(进口),2010年12月,7,15.9,32.6,,,,,,,,,,
威旺306,2013款,,1.2,手动,超值版豪华型,2014年3月,4.6,2.8,5.1,,,,,,,,,,
长安商用金牛星,2011款,,1.3,手动,舒适型,2012年3月,5.6,2.4,5.4,,,,,,,,,,
雪铁龙世嘉,2011款,世嘉-三厢,1.6,自动,舒适型,2011年6月,7.3,6.5,14.2,,,,,,,,,,
现代新胜达,2013款,,2.4,自动,GLS两驱智能型5座,2013年7月,9.6,18,27.1,,,,,,,,,,
比亚迪F3,2013款,,1.5,手动,豪华型,2014年1月,0.7,5,7.3,,,,,,,,,,
丰田皇冠,2015款,,2.0T,自动,尊享版,2016年4月,0.2,33.9,42.3,,,,,,,,,,
奥迪Q7,2012款,Q7,3.0TFSI,自动,舒适型245kw(进口),2012年5月,10.6,56,126.7,,,,,,,,,,
雪铁龙C5,2010款,C5,2.3,自动,尊贵型,2010年4月,8.2,10.5,24.6,,,,,,,,,,
奥迪Q3,2015款,Q3,2.0TFSI,双离合,35TFSI进取型,2015年11月,2.4,25,31.5,,,,,,,,,,
东南V3菱悦,2008款,,1.5,手动,旗舰版,2009年9月,9.1,3,7.7,,,,,,,,,,
现代伊兰特,2011款,悦动,1.6,手动,舒适型,2011年4月,8.2,4.7,10.8,,,,,,,,,,
丰田卡罗拉,2008款,卡罗拉,1.8,自动,GL-i天窗特别版,2008年8月,6.7,6,16.3,,,,,,,,,,
长安悦翔-三厢,2009款,,1.5,手动,豪华版,2010年12月,10.1,2.6,6.4,,,,,,,,,,
雪佛兰乐风,2010款,,1.4,手动,SE,2010年12月,7.4,3.6,8.9,,,,,,,,,,
GMC赛威,2014款,,5.3,自动,1500S(进口),2015年5月,0.5,135,160.6,,,,,,,,,,
标致2008,2014款,,1.6,自动,卓越版,2014年12月,1.5,9.9,14.1,,,,,,,,,,
奔驰C级,2008款,C230,2.5,自动,时尚型,2008年7月,10.2,15,46.5,,,,,,,,,,
大众帕萨特,2007款,帕萨特,1.8T,手动,经典版,2008年9月,7.7,5.8,16.8,,,,,,,,,,
荣威750S,2009款,,1.8T,自动,迅雅版,2009年10月,9.7,6,20,,,,,,,,,,
标致3008,2013款,,1.6THP,自动,至尚版,2013年7月,4.5,14.9,23.3,,,,,,,,,,
威麟X5,2010款,,2.0T,手动,四驱舒适型,2012年1月,10.3,6,14.7,,,,,,,,,,
Jeep大切诺基,2013款,,3.6,自动,舒适型(进口),2013年12月,3.7,45,61.9,,,,,,,,,,
宝马3系,2011款,325i敞篷轿跑车,2.5,自动,(进口),2010年8月,2.3,35,70,,,,,,,,,,
奔驰C级,2008款,C200K,1.8T,自动,标准型,2009年9月,9.9,13.8,37.8,,,,,,,,,,
路虎揽胜,2014款,,3.0T,自动,美规行政版高配(进口),2015年1月,2.1,133,,,,,,,,,,,
大众捷达,2011款,捷达,1.6,手动,,2011年10月,4.3,4.3,,,,,,,,,,,
奔驰SLK级,2011款,SLK200,1.8T,自动,时尚型(进口),2013年10月,4.8,38,63.8,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2009年10月,9.1,10,24.6,,,,,,,,,,
奥迪A5,2013款,A5 Sportback,2.0TFSI,无级,40TFSI(进口),2013年1月,8.2,28.9,54.3,,,,,,,,,,
大众尚酷,2011款,尚酷,2.0TSI,双离合,(进口),2013年4月,8.3,22.5,43.3,,,,,,,,,,
宝马5系,2011款,535Li,3.0T,自动,行政型,2010年9月,7.3,33,85.9,,,,,,,,,,
标致207-三厢,2009款,,1.4,手动,驭乐版,2010年5月,3.7,3,8.1,,,,,,,,,,
现代伊兰特,2011款,悦动,1.6,手动,舒适型,2013年5月,8.1,6.7,10.8,,,,,,,,,,
奥迪A4L,2010款,A4L,2.0TFSI,无级,132kw舒适型,2010年4月,7,15.8,35.8,,,,,,,,,,
福特福克斯,2011款,福克斯-三厢,1.8,手动,舒适型,2011年10月,8.1,6,12.5,,,,,,,,,,
现代ix35,2012款,,2,自动,GLS两驱精英型,2012年11月,4.1,13.5,21.3,,,,,,,,,,
别克凯越,2008款,,1.6,手动,LE舒适版,2008年12月,12,4,12.8,,,,,,,,,,
大众尚酷,2011款,尚酷,1.4TSI,双离合,舒适版(进口),2012年11月,4.6,16.5,29.5,,,,,,,,,,
SmartFortwo Coupe,2012款,,1,自动,MHD舒适版(进口),2015年8月,0.9,9.6,13.9,,,,,,,,,,
比亚迪F3,2009款,,1.5,手动,新白金版,2009年12月,12,2.2,6.5,,,,,,,,,,
双龙柯兰多,2014款,,2,自动,两驱汽油豪华导航版(进口),2014年1月,6,14,18.5,,,,,,,,,,
日产奇骏,2010款,奇骏,2.5,无级,XL豪华版,2010年3月,10.2,13,26,,,,,,,,,,
大众CC,2013款,CC,2.0TSI,双离合,豪华版,2014年7月,3.7,25,30.8,,,,,,,,,,
现代索纳塔,2013款,第八代索纳塔,2.4,自动,豪华型,2013年5月,6,14.5,22.8,,,,,,,,,,
丰田卡罗拉,2007款,卡罗拉,1.6,手动,GL,2010年7月,6.6,5.6,13.9,,,,,,,,,,
本田雅阁,2008款,第八代雅阁,3.5,自动,旗舰版,2008年9月,6.4,12,36.9,,,,,,,,,,
奔驰S级,2010款,S65 AMG,6.0T,自动,(进口),2010年3月,4.3,100,358,,,,,,,,,,
比亚迪G3R,2011款,,1.5,手动,尚雅型,2011年9月,1.1,3,6.5,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.4TSI,双离合,豪华版,2012年10月,3.5,11,18.2,,,,,,,,,,
标致408,2013款,,2,自动,车载互联豪华版,2014年1月,3.6,8.99,,,,,,,,,,,
大众帕萨特,2014款,帕萨特,1.8TSI,双离合,御尊导航版,2014年12月,6.2,19,26.4,,,,,,,,,,
大众CC,2010款,CC,2.0TSI,双离合,至尊版,2010年9月,4.4,16.98,32.5,,,,,,,,,,
大众速腾,2011款,速腾,1.6,手动,舒适版,2011年7月,7.6,8,14.7,,,,,,,,,,
大众尚酷,2011款,尚酷,2.0TSI,双离合,豪华版(进口),2013年6月,4.2,21.8,33.8,,,,,,,,,,
日产天籁,2011款,天籁,2.5,无级,XL领先版,2011年6月,9.9,13.9,24.4,,,,,,,,,,
金杯海狮,2010款,,2,手动,6座,2010年5月,10.7,2.6,,,,,,,,,,,
丰田卡罗拉,2013款,卡罗拉,1.8,无级,GL-i至酷特装版,2014年3月,1.3,10.99,16.5,,,,,,,,,,
奔驰唯雅诺,2013款,唯雅诺,3,自动,舒适版,2014年1月,6.4,33.8,48.7,,,,,,,,,,
宝马5系,2011款,523i,2.5,自动,领先型(进口),2011年8月,4.5,35,53.5,,,,,,,,,,
大众迈腾,2012款,迈腾 旅行车,2.0TSI,双离合,舒适型（进口）,2012年5月,4.6,22,37.2,,,,,,,,,,
路虎揽胜极光,2013款,,2.0T,自动,耀动版(进口),2013年2月,3.8,38.8,68.2,,,,,,,,,,
宝马4系,2014款,428i 敞篷轿跑车,2.0T,自动,运动设计套装(进口),2014年9月,2.7,58.5,73.4,,,,,,,,,,
吉利博瑞,2015款,,2.4,自动,舒适型,2016年7月,0.6,12.68,14.1,,,,,,,,,,
荣威750E,2008款,,2.5,自动,贵雅版,2008年11月,12,8,25.2,,,,,,,,,,
双龙爱腾,2009款,,2.3,自动,A230CAH超豪华型(进口),2010年11月,5.8,11.8,29.3,,,,,,,,,,
MINI,2014款,Mini Cooper,1.5T,自动,Fun(进口),2015年5月,2.1,20.5,27.7,,,,,,,,,,
大众Polo,2009款,POLO劲情,1.6,自动,Sporty,2009年6月,10.8,5,11.7,,,,,,,,,,
斯柯达昊锐,2009款,昊锐,1.8TSI,自动,智雅版,2009年11月,5.3,9.75,20.8,,,,,,,,,,
金杯大海狮L,2013款,,2.7,手动,领航版旗舰型,2013年12月,0.8,14.5,21.7,,,,,,,,,,
福特全顺,2006款,经典全顺,2.8T,手动,长轴中顶物流版10-15座柴油,2014年3月,3.1,12.5,17.5,,,,,,,,,,
丰田RAV4,2009款,RAV4,2.4,自动,豪华版,2009年5月,9.8,12,26.8,,,,,,,,,,
威旺306,2011款,,1.3,手动,基本型,2012年8月,8.5,2.1,4,,,,,,,,,,
马自达睿翼,2009款,睿翼,2.5,自动,至尊版,2010年8月,6.6,11,24.9,,,,,,,,,,
沃尔沃C30,2010款,,2,双离合,智雅版(进口),2010年2月,5.5,13,35.6,,,,,,,,,,
大众Polo,2013款,POLO,1.6,自动,豪华版,2013年4月,2,8.2,13.4,,,,,,,,,,
雪佛兰科帕奇,2015款,,2.4,自动,四驱旗舰版7座,2015年9月,0.9,18.19,22.8,,,,,,,,,,
奥迪Q7,2016款,,3.0T,自动,45TFSI,2016年4月,0.3,78,100.9,,,,,,,,,,
荣威W5,2011款,,1.8T,自动,两驱胜域版,2012年9月,8.6,9.98,20.3,,,,,,,,,,
雪佛兰赛欧-三厢,2012款,,1.2,手动,温馨版节能补贴,2012年4月,2.6,3.8,6.2,,,,,,,,,,
奥迪Q3,2013款,Q3,2.0TFSI,双离合,35TFSI quattro舒适型,2013年5月,8.2,24.5,38.7,,,,,,,,,,
比亚迪思锐,2013款,,1.5TID,双离合,尊贵型,2013年10月,8.9,8,13.1,,,,,,,,,,
本田思铂睿,2013款,思铂睿,2.4,自动,TYPE-S,2013年4月,5.6,17,27.8,,,,,,,,,,
